ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI
40788,Toma Globonik,M,25,178,69,Slovenia,SLO,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,21.777553339224845
40788,Toma Globonik,M,29,178,69,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 10 kilometres Sprint,,21.777553339224845
40788,Toma Globonik,M,29,178,69,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,,21.777553339224845
40788,Toma Globonik,M,29,178,69,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 20 kilometres,,21.777553339224845
40788,Toma Globonik,M,29,178,69,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,21.777553339224845
40825,Andrej Glucks,M,20,166,70,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, Slalom",,25.402816083611555
40825,Andrej Glucks,M,24,166,70,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Singles, Slalom",,25.402816083611555
40930,ivko Goci,M,25,193,93,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze,24.967113211092915
40930,ivko Goci,M,29,193,93,Serbia,SRB,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Bronze,24.967113211092915
40930,ivko Goci,M,33,193,93,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold,24.967113211092915
40944,Jernej Godec,M,18,190,95,Slovenia,SLO,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,26.315789473684212
40944,Jernej Godec,M,22,190,95,Slovenia,SLO,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,26.315789473684212
40971,Tanja Godina,F,21,,,Slovenia,SLO,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Backstroke,,
40971,Tanja Godina,F,21,,,Slovenia,SLO,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Backstroke,,
