ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI
33989,ime Fantela,M,22,183,67,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Dinghy,,20.00656932126967
33989,ime Fantela,M,26,183,67,Croatia,CRO,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Dinghy,,20.00656932126967
33989,ime Fantela,M,30,183,67,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,Gold,20.00656932126967
34058,Saa Fari,F,25,159,60,Slovenia,SLO,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,,23.73323840037973
34232,Elvis Fatovi,M,29,185,87,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,,25.420014609203797
34232,Elvis Fatovi,M,33,185,87,Croatia,CRO,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,,25.420014609203797
34367,Nedad Fazlija,M,28,175,67,Bosnia and Herzegovina,BIH,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Rifle, 10 metres",,21.877551020408163
34367,Nedad Fazlija,M,28,175,67,Bosnia and Herzegovina,BIH,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,21.877551020408163
34367,Nedad Fazlija,M,28,175,67,Bosnia and Herzegovina,BIH,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,21.877551020408163
34367,Nedad Fazlija,M,32,175,67,Bosnia and Herzegovina,BIH,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",,21.877551020408163
34367,Nedad Fazlija,M,32,175,67,Bosnia and Herzegovina,BIH,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,21.877551020408163
34367,Nedad Fazlija,M,32,175,67,Bosnia and Herzegovina,BIH,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,21.877551020408163
34367,Nedad Fazlija,M,36,175,67,Bosnia and Herzegovina,BIH,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",,21.877551020408163
34367,Nedad Fazlija,M,36,175,67,Bosnia and Herzegovina,BIH,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,21.877551020408163
